"","ProductName"
"1","Samsung Galaxy Buds2 Pro, Graphite  "
"2","soundcore by Anker Space A40 Adaptive Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, Ultra Long 50H Playtime, 10H Single Playtime, Hi-Res Sound, Comfortable Fit, Wireless Charge  "
"3","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs (Black)  "
"4","Samsung Type C Wired in-Ear Earphones  "
"5","JBL Wave Flex True Wireless Stereo Earbuds, Black  "
"6","Moondrop Space Travel TWS Earphone Bluetooth 5.3 Noise Canceling True Wireless Stereo IEMs  "
"7","Nothing Ear (2) Wireless Bluetooth Earphones Black - ANC (Active Noise Cancelling) Headphones, Hi-Res Audio Certified, Dual Connection, Powerful 11.6 mm Driver  "
"8","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  "
"9","MOONDROP CHU II High Performance Dynamic Driver IEMs Interchangeable Cable in-Ear Headphone  "
"10","Soundcore by Anker Life P2 Mini True Wireless Earbuds, 10mm Drivers with Big Bass, Custom EQ, Bluetooth 5.2, 32H Playtime, USB-C for Fast Charging, Tiny Size for Commute, Work (Black)  "
"11","JBL Live Flex ANC True Wireless Stereo Earbuds, Silver  "
"12","TRUTHEAR x Crinacle Zero: RED Dual Dynamic Drivers in-Ear Headphone  "
"13","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  "
"14","Yamaha TW-E3C True Wireless Earbuds with Multipoint Connectivity, Long Battery Life and Listening Care, Black  "
"15","Soundcore by Anker, Soundcore Sport X10 True Wireless Bluetooth 5.2 Workout Headphones, Rotatable Ear Hooks, Deep Bass, IPX7 Waterproof, Sweatproof, 32H Play, Fast Charge, Sport Earbuds, Gym, Running  "
"16","Kuoadusl Wireless Earbuds 3, Wireless Bluetooth 5.2 Headphones 3D HiFi Stereo Headphones Noise Cancellation in-Ear Built-in Mic with Charging Case, Touch Control for Phone/Samsu/Xiaomi/Android/iOS  "
"17","Samsung Galaxy Buds FE Wireless Bluetooth Earbuds, Active Noise Cancelling (ANC), Comfortable Fit, 3 Microphones, Touch Control, Deep Bass, Includes Charging Cable, Graphite  "
"18","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Black  "
"19","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  "
"20","Laser Wireless Bluetooth Earphones in White - Long-Lasting Battery, Inline Controls, Secure Fit, Magnet Feature, Comfort Foam, Advanced Audio Distribution  "
"21","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  "
"22","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  "
"23","MEE audio M6 PRO in Ear Monitor Headphones for Musicians, 2nd Gen Model with Upgraded Sound, Memory Wire Earhooks & Replaceable Cables, Noise Isolating Professional Earbuds, 2 Cords Included (Clear)  "
"24","Bose Ultra Open Earbuds with OpenAudio Technology, Open Ear Wireless Earbuds, Up to 48 Hours of Battery Life, Black  "
"25","Bluetooth Headphones, Wireless Bluetooth 5.3 in-Ear Headphones with 4 ENC Microphones, 2023 Wireless Headphones, Noise Cancelling Earbuds with 40H Deep Bass, USB-C, IP7 Waterproof Earphones  "
"26","Nokia Wireless Earbuds, Bluetooth 5.3 Earphones in Ear with Dual ENC Noise Cancelling Mic,Touch Control Earbuds Deep Bass Stereo Sound, 20H Playtime Wireless Headphones, Black E3102Plus (Black)  "
"27","MOONDROP ARIA 2 in-Ear Headphone  "
"28","Laser Bluetooth Earphones Earbuds with Magnetic Contactor, Sports Earphones Built-in Mic  "
"29","TOZO T18 Bluetooth 5.3 True Wireless Stereo Earphones IPX8 Waterproof in Ear Headset Call Noise Reduction Headphones with Digital Display and Transparent Case Long Standby Earbuds Black  "
"30","Linsoul KZ ZSN Pro Dual Driver 1BA+1DD Hybrid Metal Earphones HiFi in-Ear Monitor with Detachable 2Pin Cable, Zin Alloy Panel (with Mic, Blue)  "
"31","Linsoul 7Hz Salnotes Zero HiFi 10mm Dynamic Driver in-Ear Earphone IEM with Metal Composite Diaphragm Stainless Steel Faceplate Detachable 2Pin OFC Cable (Black, with Mic, 3.5mm)  "
"32","Philips EarHook Sports Wired Headset with Mic  "
"33","Samsung EO-EG920BW White Genuine Headset/Handsfree/Headphone/Earphone with Volume Control for Galaxy Phones (Non Retail Packaging - Bulk Packaging)  "
"34","Laser Earbud Wired Headphones in ICY Morn 3.5mm  "
"35","Samsung 3.5mm Earphone (EO-IA500), Black  "
"36","HUAWEI FreeBuds SE 2 Wireless Headphones, White, Bluetooth, Up to 40 Hours Battery Life, Lightweight and Comfortable, Balanced Sound, AU Version  "
"37","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  "
"38","Laser Earbud Headphones Earphones Blue 3.5mm  "
"39","TELLUR VOX 55 Bluetooth Headset, Handsfree Earpiece, BT v5.2, Multipoint Two Simultaneous Connected Devices, 360Â° Hook for Right or Left Ear, iPhone and Android  "
"40","TRUTHEAR NOVA 1DD+4BA in-Ear Headphone (NOVA)  "
"41","KZ AS10 IEM 5 Balanced Armature Driver Earphone, Stereo HiFi KZ in Ear Monitor Headphone Musician Headset with Detachable 2 Pin Cable(No Microphone, Black)  "
"42","True Wireless Sleep Earbuds, Damipow Noise Blocking Technology Bluetooth Headphones in-Ear, Smallest and Lightest, Ultra Comfortable Designed Specifically to Help You Asleep Faster and Sleep Better  "
"43","Samsung EO-IC100 USB Type-C Headphones - Sound from AKG - Black  "
"44","Xiaomi Piston in-Ear Headphones Earphones Earbuds Headset with Remote & Mic - 2017 Colorful Basic Edition  "
"45","House of Marley Smile Jamaica in-Ear - Signature Black  "
"46","Linsoul THIEAUDIO Hype 2 2DD + 2BA in-Ear Monitor, HiFi Earphone with Custom Balanced Tuning, Sonion Drivers, Detachable 2 Pin IEM Cable for Audiophile Musician (Purple)  "
"47","Sony WI-C310 Bluetooth Wireless in-Ear Headphones with Mic, up to 15h Battery Life, Black  "
"48","CCZ Melody in-Ear Earphones Headphones Yinyoo Wired Earbuds Without Microphone Ear Monitors IEM HiFi Bass with 1DD 1BA, Ear fins, 4N OFC Cable for Musicians,Singer,Stage(Without mic, Clear Black)  "
"49","Philips A1105 in-Ear Sports Wired Headphones with Contoured Ear Hooks for Secure fit, Deep bass, in-line Remote Control and Microphone, IPX2 Sweat-Resistant, 3.5 mm Connector TAA1105BK  "
"50","HUAWEI FreeBuds Pro 3, Hi-Res Dual Driver Sound System, Intelligent ANC 3.0, Crystal Clear Calls, Up to 31 Hours Battery Life, Android & iOS, Stylish Ergonomic Design, German Version, Grey  "
